Wk,Tier,Groups,Store,Item_ID,Qty_,Price_
26,25,53,1973,16019,37.0,14.15
25,25,53,1973,16019,60.0,14.15
24,25,53,1973,16019,47.0,14.15
23,25,53,1973,16019,68.0,14.1
22,25,53,1973,16019,115.0,14.05
21,25,53,1973,16019,115.0,14.05
20,25,53,1973,16019,119.0,14.05
19,25,53,1973,16019,96.0,14.05
18,25,53,1973,16019,94.0,14.05
17,25,53,1973,16019,104.0,14.05
16,25,53,1973,16019,67.0,14.0
15,25,53,1973,16019,67.0,13.85
14,25,53,1973,16019,66.0,13.7
13,25,53,1973,16019,72.0,13.65
12,25,53,1973,16019,70.0,13.65
11,25,53,1973,16019,84.0,13.65
10,25,53,1973,16019,71.0,13.65
9,25,53,1973,16019,52.0,13.65
8,25,53,1973,16019,52.0,13.65
7,25,53,1973,16019,53.0,13.65
6,25,53,1973,16019,66.0,13.65
5,25,53,1973,16019,76.0,13.65
4,25,53,1973,16019,77.0,13.65
3,25,53,1973,16019,65.0,13.65
2,25,53,1973,16019,115.0,13.65
1,25,53,1973,16019,93.0,13.65
26,25,53,1973,16018,16.0,13.45
25,25,53,1973,16018,42.0,13.45
24,25,53,1973,16018,38.0,13.45
23,25,53,1973,16018,29.0,13.4
22,25,53,1973,16018,45.0,13.35
21,25,53,1973,16018,51.0,13.35
20,25,53,1973,16018,87.0,13.35
19,25,53,1973,16018,64.0,13.35
18,25,53,1973,16018,87.0,13.35
17,25,53,1973,16018,64.0,13.35
16,25,53,1973,16018,43.0,13.3
15,25,53,1973,16018,40.0,13.15
14,25,53,1973,16018,35.0,13.0
13,25,53,1973,16018,44.0,12.95
12,25,53,1973,16018,60.0,12.95
11,25,53,1973,16018,63.0,12.95
10,25,53,1973,16018,56.0,12.95
9,25,53,1973,16018,54.0,12.95
8,25,53,1973,16018,50.0,12.95
7,25,53,1973,16018,45.0,12.95
6,25,53,1973,16018,49.0,12.95
5,25,53,1973,16018,41.0,12.95
4,25,53,1973,16018,34.0,12.95
3,25,53,1973,16018,53.0,13.0
2,25,53,1973,16018,71.0,13.0
1,25,53,1973,16018,80.0,13.0
26,25,53,1973,16017,3.0,12.75
25,25,53,1973,16017,7.0,12.75
24,25,53,1973,16017,7.0,12.75
23,25,53,1973,16017,7.0,12.65
22,25,53,1973,16017,7.0,12.65
21,25,53,1973,16017,12.0,12.65
20,25,53,1973,16017,5.0,12.65
19,25,53,1973,16017,9.0,12.65
18,25,53,1973,16017,10.0,12.65
17,25,53,1973,16017,11.0,12.65
16,25,53,1973,16017,5.0,12.6
15,25,53,1973,16017,10.0,12.45
14,25,53,1973,16017,14.0,12.3
13,25,53,1973,16017,7.0,12.25
12,25,53,1973,16017,9.0,12.25
11,25,53,1973,16017,10.0,12.25
10,25,53,1973,16017,12.0,12.25
9,25,53,1973,16017,7.0,12.25
8,25,53,1973,16017,14.0,12.25
7,25,53,1973,16017,6.0,12.25
6,25,53,1973,16017,15.0,12.25
5,25,53,1973,16017,6.0,12.25
4,25,53,1973,16017,18.0,12.25
3,25,53,1973,16017,7.0,12.35
2,25,53,1973,16017,15.0,12.35
1,25,53,1973,16017,7.0,12.35
26,25,53,1973,16016,15.0,8.95
25,25,53,1973,16016,17.0,8.95
24,25,53,1973,16016,15.0,8.95
23,25,53,1973,16016,19.0,8.85
22,25,53,1973,16016,29.0,8.85
21,25,53,1973,16016,30.0,8.85
20,25,53,1973,16016,38.0,8.85
19,25,53,1973,16016,31.0,8.85
18,25,53,1973,16016,35.0,8.85
17,25,53,1973,16016,22.0,8.85
16,25,53,1973,16016,26.0,9.15
15,25,53,1973,16016,42.0,9.45
14,25,53,1973,16016,22.0,9.35
13,25,53,1973,16016,26.0,9.3
12,25,53,1973,16016,24.0,9.3
11,25,53,1973,16016,25.0,9.3
10,25,53,1973,16016,34.0,9.3
9,25,53,1973,16016,21.0,9.3
8,25,53,1973,16016,29.0,9.3
7,25,53,1973,16016,25.0,9.3
6,25,53,1973,16016,22.0,9.3
5,25,53,1973,16016,19.0,9.3
4,25,53,1973,16016,23.0,9.3
3,25,53,1973,16016,25.0,9.35
2,25,53,1973,16016,33.0,9.35
1,25,53,1973,16016,41.0,9.35
26,25,53,1973,16003,26.0,12.65
25,25,53,1973,16003,33.0,12.65
24,25,53,1973,16003,44.0,12.65
23,25,53,1973,16003,58.0,12.6
22,25,53,1973,16003,93.0,12.55
21,25,53,1973,16003,111.0,12.55
20,25,53,1973,16003,104.0,12.55
19,25,53,1973,16003,80.0,12.55
18,25,53,1973,16003,114.0,12.55
17,25,53,1973,16003,103.0,12.55
16,25,53,1973,16003,58.0,12.7
15,25,53,1973,16003,17.0,13.25
14,25,53,1973,16003,29.0,13.2
13,25,53,1973,16003,26.0,13.15
12,25,53,1973,16003,19.0,13.15
11,25,53,1973,16003,32.0,13.15
10,25,53,1973,16003,32.0,13.15
9,25,53,1973,16003,50.0,13.15
8,25,53,1973,16003,31.0,13.15
7,25,53,1973,16003,35.0,13.15
6,25,53,1973,16003,34.0,13.15
5,25,53,1973,16003,23.0,13.15
4,25,53,1973,16003,29.0,13.15
3,25,53,1973,16003,35.0,12.85
2,25,53,1973,16003,43.0,12.85
1,25,53,1973,16003,30.0,12.85
26,25,53,1973,16002,32.0,11.95
25,25,53,1973,16002,20.0,11.95
24,25,53,1973,16002,22.0,11.95
23,25,53,1973,16002,36.0,11.9
22,25,53,1973,16002,53.0,11.85
21,25,53,1973,16002,71.0,11.85
20,25,53,1973,16002,80.0,11.85
19,25,53,1973,16002,91.0,11.85
18,25,53,1973,16002,92.0,11.85
17,25,53,1973,16002,107.0,11.85
16,25,53,1973,16002,49.0,12.05
15,25,53,1973,16002,18.0,12.55
14,25,53,1973,16002,30.0,12.45
13,25,53,1973,16002,12.0,12.45
12,25,53,1973,16002,20.0,12.45
11,25,53,1973,16002,26.0,12.45
10,25,53,1973,16002,18.0,12.45
9,25,53,1973,16002,21.0,12.45
8,25,53,1973,16002,28.0,12.45
7,25,53,1973,16002,34.0,12.45
6,25,53,1973,16002,30.0,12.45
5,25,53,1973,16002,20.0,12.45
4,25,53,1973,16002,17.0,12.45
3,25,53,1973,16002,22.0,12.25
2,25,53,1973,16002,25.0,12.2
1,25,53,1973,16002,24.0,12.2
26,25,53,1973,16001,7.0,11.25
25,25,53,1973,16001,3.0,11.25
24,25,53,1973,16001,6.0,11.25
23,25,53,1973,16001,10.0,11.15
22,25,53,1973,16001,4.0,11.15
21,25,53,1973,16001,7.0,11.15
20,25,53,1973,16001,14.0,11.15
19,25,53,1973,16001,16.0,11.15
18,25,53,1973,16001,22.0,11.15
17,25,53,1973,16001,23.0,11.15
16,25,53,1973,16001,7.0,11.25
15,25,53,1973,16001,7.0,11.85
14,25,53,1973,16001,8.0,11.8
13,25,53,1973,16001,8.0,11.75
12,25,53,1973,16001,9.0,11.75
11,25,53,1973,16001,7.0,11.75
10,25,53,1973,16001,7.0,11.75
9,25,53,1973,16001,8.0,11.75
8,25,53,1973,16001,1.0,11.75
7,25,53,1973,16001,7.0,11.75
6,25,53,1973,16001,5.0,11.75
5,25,53,1973,16001,4.0,11.75
4,25,53,1973,16001,3.0,11.75
3,25,53,1973,16001,8.0,11.55
2,25,53,1973,16001,8.0,11.55
1,25,53,1973,16001,8.0,11.55
26,25,53,1973,16000,9.0,7.45
25,25,53,1973,16000,14.0,7.45
24,25,53,1973,16000,14.0,7.45
23,25,53,1973,16000,17.0,7.35
22,25,53,1973,16000,31.0,7.35
21,25,53,1973,16000,31.0,7.35
20,25,53,1973,16000,35.0,7.35
19,25,53,1973,16000,41.0,7.35
18,25,53,1973,16000,50.0,7.35
17,25,53,1973,16000,43.0,7.35
16,25,53,1973,16000,36.0,7.65
15,25,53,1973,16000,15.0,8.7
14,25,53,1973,16000,6.0,8.55
13,25,53,1973,16000,9.0,8.55
12,25,53,1973,16000,7.0,8.55
11,25,53,1973,16000,13.0,8.55
10,25,53,1973,16000,18.0,8.55
9,25,53,1973,16000,5.0,8.55
8,25,53,1973,16000,13.0,8.55
7,25,53,1973,16000,17.0,8.55
6,25,53,1973,16000,14.0,8.55
5,25,53,1973,16000,7.0,8.55
4,25,53,1973,16000,12.0,8.55
3,25,53,1973,16000,6.0,8.55
2,25,53,1973,16000,6.0,8.55
1,25,53,1973,16000,26.0,8.55
26,25,53,1973,7967,46.0,4.7
25,25,53,1973,7967,40.0,4.7
24,25,53,1973,7967,55.0,4.7
23,25,53,1973,7967,94.0,4.7
22,25,53,1973,7967,65.0,4.7
21,25,53,1973,7967,63.0,4.7
20,25,53,1973,7967,56.0,4.7
19,25,53,1973,7967,52.0,4.7
18,25,53,1973,7967,65.0,4.7
17,25,53,1973,7967,91.0,4.7
16,25,53,1973,7967,67.0,4.7
15,25,53,1973,7967,73.0,4.7
14,25,53,1973,7967,63.0,4.7
13,25,53,1973,7967,56.0,4.7
12,25,53,1973,7967,52.0,4.7
11,25,53,1973,7967,66.0,4.7
10,25,53,1973,7967,42.0,4.7
9,25,53,1973,7967,45.0,4.7
8,25,53,1973,7967,33.0,4.7
7,25,53,1973,7967,34.0,4.7
6,25,53,1973,7967,27.0,4.7
5,25,53,1973,7967,33.0,4.7
4,25,53,1973,7967,35.0,4.7
3,25,53,1973,7967,34.0,5.45
2,25,53,1973,7967,38.0,5.55
1,25,53,1973,7967,45.0,5.55
26,25,53,1973,7966,44.0,4.2
25,25,53,1973,7966,39.0,4.2
24,25,53,1973,7966,49.0,4.2
23,25,53,1973,7966,70.0,4.2
22,25,53,1973,7966,54.0,4.2
21,25,53,1973,7966,60.0,4.2
20,25,53,1973,7966,81.0,4.2
19,25,53,1973,7966,55.0,4.2
18,25,53,1973,7966,89.0,4.2
17,25,53,1973,7966,60.0,4.2
16,25,53,1973,7966,71.0,4.2
15,25,53,1973,7966,72.0,4.2
14,25,53,1973,7966,76.0,4.2
13,25,53,1973,7966,76.0,4.2
12,25,53,1973,7966,55.0,4.2
11,25,53,1973,7966,70.0,4.2
10,25,53,1973,7966,44.0,4.2
9,25,53,1973,7966,45.0,4.2
8,25,53,1973,7966,54.0,4.2
7,25,53,1973,7966,48.0,4.2
6,25,53,1973,7966,38.0,4.2
5,25,53,1973,7966,26.0,4.2
4,25,53,1973,7966,30.0,4.2
3,25,53,1973,7966,48.0,4.45
2,25,53,1973,7966,34.0,4.45
1,25,53,1973,7966,39.0,4.45
26,25,53,1973,7965,13.0,3.75
25,25,53,1973,7965,12.0,3.75
24,25,53,1973,7965,17.0,3.75
23,25,53,1973,7965,10.0,3.75
22,25,53,1973,7965,12.0,3.75
21,25,53,1973,7965,17.0,3.75
20,25,53,1973,7965,11.0,3.75
19,25,53,1973,7965,14.0,3.75
18,25,53,1973,7965,27.0,3.75
17,25,53,1973,7965,23.0,3.75
16,25,53,1973,7965,20.0,3.75
15,25,53,1973,7965,18.0,3.75
14,25,53,1973,7965,20.0,3.7
13,25,53,1973,7965,22.0,3.7
12,25,53,1973,7965,23.0,3.7
11,25,53,1973,7965,25.0,3.7
10,25,53,1973,7965,11.0,3.7
9,25,53,1973,7965,16.0,3.7
8,25,53,1973,7965,9.0,3.7
7,25,53,1973,7965,12.0,3.7
6,25,53,1973,7965,12.0,3.7
5,25,53,1973,7965,7.0,3.7
4,25,53,1973,7965,10.0,3.7
3,25,53,1973,7965,10.0,4.2
2,25,53,1973,7965,16.0,4.2
1,25,53,1973,7965,15.0,4.2
26,25,53,1973,7575,34.0,3.95
25,25,53,1973,7575,36.0,3.95
24,25,53,1973,7575,32.0,3.95
23,25,53,1973,7575,41.0,3.95
22,25,53,1973,7575,40.0,3.95
21,25,53,1973,7575,35.0,3.95
20,25,53,1973,7575,53.0,3.95
19,25,53,1973,7575,40.0,3.95
18,25,53,1973,7575,45.0,3.95
17,25,53,1973,7575,36.0,3.95
16,25,53,1973,7575,45.0,3.95
15,25,53,1973,7575,44.0,3.95
14,25,53,1973,7575,37.0,3.95
13,25,53,1973,7575,44.0,3.9
12,25,53,1973,7575,41.0,3.9
11,25,53,1973,7575,49.0,3.9
10,25,53,1973,7575,48.0,3.9
9,25,53,1973,7575,44.0,3.9
8,25,53,1973,7575,51.0,3.9
7,25,53,1973,7575,61.0,3.9
6,25,53,1973,7575,55.0,3.9
5,25,53,1973,7575,40.0,3.9
4,25,53,1973,7575,37.0,3.9
3,25,53,1973,7575,26.0,3.9
2,25,53,1973,7575,23.0,3.9
1,25,53,1973,7575,46.0,3.9
26,25,53,1973,7434,156.0,5.1
25,25,53,1973,7434,143.0,5.1
24,25,53,1973,7434,129.0,5.1
23,25,53,1973,7434,119.0,5.1
22,25,53,1973,7434,102.0,5.1
21,25,53,1973,7434,94.0,5.1
20,25,53,1973,7434,92.0,5.1
19,25,53,1973,7434,90.0,5.1
18,25,53,1973,7434,91.0,5.1
17,25,53,1973,7434,73.0,5.1
16,25,53,1973,7434,67.0,5.1
15,25,53,1973,7434,114.0,5.1
14,25,53,1973,7434,96.0,5.05
13,25,53,1973,7434,87.0,5.0
12,25,53,1973,7434,110.0,5.0
11,25,53,1973,7434,132.0,5.0
10,25,53,1973,7434,127.0,5.0
9,25,53,1973,7434,142.0,5.0
8,25,53,1973,7434,143.0,5.0
7,25,53,1973,7434,156.0,5.05
6,25,53,1973,7434,195.0,5.05
5,25,53,1973,7434,202.0,5.1
4,25,53,1973,7434,176.0,5.05
3,25,53,1973,7434,127.0,5.25
2,25,53,1973,7434,209.0,5.25
1,25,53,1973,7434,167.0,5.25
26,25,53,1973,7159,18.0,6.0
25,25,53,1973,7159,23.0,6.0
24,25,53,1973,7159,9.0,6.0
23,25,53,1973,7159,13.0,6.0
22,25,53,1973,7159,13.0,6.0
21,25,53,1973,7159,11.0,6.0
20,25,53,1973,7159,14.0,6.0
19,25,53,1973,7159,17.0,6.0
18,25,53,1973,7159,5.0,6.0
17,25,53,1973,7159,5.0,6.0
16,25,53,1973,7159,13.0,6.0
15,25,53,1973,7159,15.0,6.0
14,25,53,1973,7159,13.0,6.15
13,25,53,1973,7159,7.0,6.15
12,25,53,1973,7159,14.0,6.15
11,25,53,1973,7159,13.0,6.15
10,25,53,1973,7159,11.0,6.15
9,25,53,1973,7159,16.0,6.15
8,25,53,1973,7159,15.0,6.15
7,25,53,1973,7159,22.0,6.15
6,25,53,1973,7159,10.0,6.15
5,25,53,1973,7159,12.0,6.15
4,25,53,1973,7159,14.0,6.15
3,25,53,1973,7159,18.0,6.15
2,25,53,1973,7159,24.0,6.15
1,25,53,1973,7159,24.0,6.15
26,25,53,1973,7158,11.0,5.25
25,25,53,1973,7158,9.0,5.25
24,25,53,1973,7158,3.0,5.25
23,25,53,1973,7158,4.0,5.25
22,25,53,1973,7158,3.0,5.25
21,25,53,1973,7158,10.0,5.25
20,25,53,1973,7158,7.0,5.25
19,25,53,1973,7158,2.0,5.25
18,25,53,1973,7158,1.0,5.25
17,25,53,1973,7158,6.0,5.25
16,25,53,1973,7158,7.0,5.25
15,25,53,1973,7158,1.0,5.25
14,25,53,1973,7158,7.0,5.4
13,25,53,1973,7158,3.0,5.4
12,25,53,1973,7158,6.0,5.4
11,25,53,1973,7158,4.0,5.4
10,25,53,1973,7158,6.0,5.4
9,25,53,1973,7158,9.0,5.4
8,25,53,1973,7158,11.0,5.4
7,25,53,1973,7158,8.0,5.4
6,25,53,1973,7158,5.0,5.4
5,25,53,1973,7158,10.0,5.4
4,25,53,1973,7158,10.0,5.4
3,25,53,1973,7158,13.0,5.4
2,25,53,1973,7158,8.0,5.4
1,25,53,1973,7158,8.0,5.4
26,25,53,1973,7157,31.0,6.7
25,25,53,1973,7157,22.0,6.7
24,25,53,1973,7157,16.0,6.7
23,25,53,1973,7157,11.0,6.7
22,25,53,1973,7157,19.0,6.7
21,25,53,1973,7157,15.0,6.7
20,25,53,1973,7157,12.0,6.7
19,25,53,1973,7157,9.0,6.7
18,25,53,1973,7157,5.0,6.7
17,25,53,1973,7157,5.0,6.7
16,25,53,1973,7157,11.0,6.7
15,25,53,1973,7157,11.0,6.7
14,25,53,1973,7157,13.0,6.85
13,25,53,1973,7157,3.0,6.85
12,25,53,1973,7157,15.0,6.85
11,25,53,1973,7157,14.0,6.85
10,25,53,1973,7157,16.0,6.85
9,25,53,1973,7157,9.0,6.85
8,25,53,1973,7157,21.0,6.85
7,25,53,1973,7157,17.0,6.85
6,25,53,1973,7157,27.0,6.85
5,25,53,1973,7157,7.0,6.85
4,25,53,1973,7157,16.0,6.85
3,25,53,1973,7157,14.0,6.85
2,25,53,1973,7157,21.0,6.85
1,25,53,1973,7157,20.0,6.85
26,25,53,1973,7129,153.0,4.35
25,25,53,1973,7129,163.0,4.35
24,25,53,1973,7129,107.0,4.35
23,25,53,1973,7129,85.0,4.35
22,25,53,1973,7129,114.0,4.35
21,25,53,1973,7129,82.0,4.35
20,25,53,1973,7129,85.0,4.35
19,25,53,1973,7129,67.0,4.35
18,25,53,1973,7129,71.0,4.35
17,25,53,1973,7129,75.0,4.35
16,25,53,1973,7129,64.0,4.35
15,25,53,1973,7129,78.0,4.35
14,25,53,1973,7129,72.0,4.25
13,25,53,1973,7129,54.0,4.2
12,25,53,1973,7129,90.0,4.2
11,25,53,1973,7129,88.0,4.2
10,25,53,1973,7129,88.0,4.2
9,25,53,1973,7129,125.0,4.2
8,25,53,1973,7129,119.0,4.25
7,25,53,1973,7129,118.0,4.25
6,25,53,1973,7129,139.0,4.3
5,25,53,1973,7129,181.0,4.35
4,25,53,1973,7129,166.0,4.35
3,25,53,1973,7129,109.0,4.75
2,25,53,1973,7129,139.0,4.8
1,25,53,1973,7129,155.0,4.8
26,25,53,1973,7128,40.0,4.1
25,25,53,1973,7128,43.0,4.1
24,25,53,1973,7128,51.0,4.1
23,25,53,1973,7128,40.0,4.1
22,25,53,1973,7128,33.0,4.1
21,25,53,1973,7128,29.0,4.1
20,25,53,1973,7128,25.0,4.1
19,25,53,1973,7128,22.0,4.1
18,25,53,1973,7128,17.0,4.1
17,25,53,1973,7128,16.0,4.1
16,25,53,1973,7128,23.0,4.1
15,25,53,1973,7128,23.0,4.1
14,25,53,1973,7128,19.0,4.05
13,25,53,1973,7128,16.0,4.0
12,25,53,1973,7128,21.0,4.0
11,25,53,1973,7128,26.0,4.0
10,25,53,1973,7128,32.0,4.0
9,25,53,1973,7128,24.0,4.0
8,25,53,1973,7128,40.0,4.0
7,25,53,1973,7128,33.0,4.0
6,25,53,1973,7128,55.0,4.0
5,25,53,1973,7128,61.0,4.0
4,25,53,1973,7128,61.0,4.0
3,25,53,1973,7128,39.0,3.9
2,25,53,1973,7128,48.0,3.85
1,25,53,1973,7128,60.0,3.85
26,25,53,1973,7115,53.0,4.85
25,25,53,1973,7115,41.0,4.85
24,25,53,1973,7115,41.0,4.85
23,25,53,1973,7115,40.0,4.85
22,25,53,1973,7115,28.0,4.85
21,25,53,1973,7115,39.0,4.85
20,25,53,1973,7115,31.0,4.85
19,25,53,1973,7115,16.0,4.85
18,25,53,1973,7115,18.0,4.85
17,25,53,1973,7115,20.0,4.85
16,25,53,1973,7115,18.0,4.85
15,25,53,1973,7115,50.0,4.85
14,25,53,1973,7115,33.0,4.8
13,25,53,1973,7115,24.0,4.8
12,25,53,1973,7115,42.0,4.8
11,25,53,1973,7115,21.0,4.8
10,25,53,1973,7115,34.0,4.8
9,25,53,1973,7115,31.0,4.8
8,25,53,1973,7115,35.0,4.8
7,25,53,1973,7115,28.0,4.8
6,25,53,1973,7115,42.0,4.8
5,25,53,1973,7115,45.0,4.8
4,25,53,1973,7115,38.0,4.8
3,25,53,1973,7115,36.0,4.8
2,25,53,1973,7115,58.0,4.8
1,25,53,1973,7115,92.0,4.8
